timestamp,usercount,instancecount,tootscount
1541444405,1681634,1768,186867455
1541448003,1681698,1769,186877452
1541451604,1681777,1770,186888674
1541455204,1681835,1770,186900219
1541458804,1681888,1768,186912171
1541462403,1681938,1767,186919779
1541466004,1681984,1767,186932510
1541469603,1682042,1766,186944107
1541473205,1682098,1764,186956817
1541476805,1682166,1763,186972817
1541480405,1682232,1763,186979718
1541484005,1682298,1763,186989530
1541487604,1682362,1761,186997542
1541491205,1682397,1764,187008637
1541494805,1682453,1767,187022242
1541498404,1682498,1766,187033106
1541502004,1682565,1767,187049488
1541505605,1682606,1767,187068074
1541509205,1682657,1766,187087455
1541512804,1682729,1769,187107320
1541516403,1682788,1769,187131935
1541520005,1682876,1768,187154040
1541523605,1682958,1769,187171200
1541527204,1683000,1769,187184030
1541530805,1683049,1769,187196170
1541534405,1683105,1769,187202613
1541538004,1683159,1771,187205129
1541541605,1683213,1773,187213499
1541545205,1683269,1772,187226962
1541548805,1683330,1772,187241540
1541552405,1683372,1772,187254866
1541556003,1683430,1770,187266566
1541559605,1683490,1768,187279614
1541563204,1683549,1768,187293169
1541566804,1683594,1768,187298038
1541570405,1683676,1769,187310943
1541574003,1683726,1769,187279728
1541577605,1683783,1768,187284821
1541581203,1683826,1768,187292911
1541584803,1683865,1768,187309905
1541588404,1683909,1767,187328200
1541592004,1683961,1765,187349074
1541595604,1684038,1764,187369642
1541599205,1684107,1767,187388487
1541602805,1684174,1767,187409980
1541606404,1684250,1769,187428419
1541610005,1684325,1767,187443587
1541613605,1684381,1767,187456409
1541617204,1684417,1770,187467894
1541620804,1684474,1769,187477689
1541624404,1684525,1769,187488156
1541628005,1684580,1771,187500664
1541631604,1684630,1771,187514937
1541635203,1684697,1771,187529489
1541638805,1684761,1772,187540668
1541642405,1684806,1772,187553744
1541646004,1684869,1770,187566357
1541649604,1684939,1771,187579722
1541653203,1685006,1769,187594596
1541656804,1685048,1764,187606135
1541660404,1685099,1764,187618420
1541664004,1685148,1763,187630983
1541667605,1685193,1763,187645205
1541671203,1685259,1765,187662346
1541674804,1685323,1765,187677228
1541678401,1685409,1767,187690210
1541682001,1685477,1766,187713279
1541685601,1685558,1770,187735537
1541689201,1685638,1770,187759842
1541692802,1685715,1773,187774064
1541696402,1685794,1772,187789997
1541700001,1685843,1769,187803072
1541703601,1685907,1769,187815709
1541707201,1685953,1769,187826632
1541710801,1686023,1768,187821858
1541714401,1686088,1767,187829218
1541718001,1686144,1770,187841079
1541721601,1686214,1771,187855275
1541725201,1686277,1770,187868090
1541728801,1686337,1771,187880037
1541732401,1686378,1768,187893218
1541736001,1686443,1769,187909845
1541739601,1686495,1769,187924424
1541743201,1686561,1768,187935259
1541746801,1686617,1768,187946689
1541750401,1686672,1770,187959119
1541754001,1686728,1770,187970095
1541757601,1686775,1770,187978519
1541761201,1686849,1771,187989345
1541764801,1686913,1772,188008698
1541768401,1686988,1772,188028047
1541772001,1687073,1773,188049760
1541775601,1687146,1773,188072259
1541779202,1687193,1771,188091054
1541782801,1687292,1773,188110836
1541786401,1687368,1772,188125536
1541790002,1687437,1771,188134691
1541793601,1687512,1771,188145990
1541797201,1687571,1771,188156043
1541800801,1687626,1771,188167603
1541804401,1687672,1771,188180494
1541808002,1687731,1770,188193269
1541811601,1687786,1769,188207043
1541815201,1687830,1768,188220877
1541818802,1687874,1768,188235142
1541822401,1687863,1770,188248643
1541826001,1687933,1770,188263325
1541829601,1688002,1767,188276955
1541833201,1688078,1767,188291225
1541836801,1688140,1768,188304811
1541840401,1688234,1768,188318314
1541844001,1688308,1768,188331922
1541847601,1688394,1767,188344674
1541851201,1688450,1769,188362356
1541854801,1688500,1772,188381448
1541858401,1688562,1771,188401411
1541862002,1688584,1772,188420912
1541865602,1688636,1770,188441447
1541869201,1688697,1769,188457192
1541872801,1688776,1769,188472542
1541876401,1688844,1769,188484043
1541880001,1688891,1766,188493429
1541883601,1688935,1766,188500796
1541887202,1689000,1768,188510568
1541890801,1689056,1766,188521154
1541894401,1689106,1766,188532728
1541898001,1689207,1767,188545512
1541901601,1689249,1766,188545084
1541905201,1689306,1763,188560000
1541908801,1689363,1762,188575736
1541912401,1689410,1762,188590333
1541916001,1689469,1763,188603934
1541919601,1689521,1762,188618778
1541923202,1689579,1764,188634082
1541926801,1689630,1764,188615883
1541930401,1689671,1764,188631090
1541934001,1689721,1762,188648043
1541937601,1689779,1765,188665702
1541941201,1689857,1769,188685482
1541944801,1689924,1770,188704558
1541948401,1690000,1768,188706034
1541952001,1690067,1769,188724848
1541955601,1690175,1769,188738899
1541959201,1690241,1768,188752047
1541962802,1690318,1771,188762027
1541966401,1690386,1770,188771094
1541970001,1690428,1773,188780011
1541973601,1690483,1773,188791209
1541977201,1690541,1771,188804402
1541980801,1690591,1772,188816455
1541984401,1690649,1771,188822338
1541988001,1690707,1770,188831618
1541991601,1690762,1770,188840458
1541995202,1690816,1770,188849009
1541998801,1690893,1770,188860956
1542002401,1690989,1769,188871806
1542006001,1691081,1769,188881910
1542009601,1691146,1771,188886079
1542013201,1691215,1774,188899112
1542016801,1691286,1774,188911985
1542020401,1691135,1773,188926304
1542024001,1691195,1776,188944463
